"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";" Total"
"11 Rondônia";"88821";"117310";"69779";"99227";"70501";"69231";"50656";"34644";"30506";"2898";"0";"5974";"28414";"25149";"25480";"22652";"16015";"21424";"14068";"108";"792857"
"12 Acre";"17113";"90922";"28451";"81275";"43071";"59426";"46704";"14696";"13256";"867";"0";"1691";"9632";"8119";"10417";"11136";"12450";"15518";"6778";"84";"471606"
"13 Amazonas";"84971";"180638";"127372";"282984";"166884";"197440";"142911";"78575";"91007";"18882";"471";"14661";"60806";"60200";"59772";"59057";"59026";"68506";"31088";"196";"1785447"
"14 Roraima";"16394";"26476";"16947";"39575";"42266";"23853";"27667";"11808";"11350";"1215";"0";"723";"8895";"9584";"9262";"10713";"10556";"12398";"6094";"55";"285831"
"15 Pará";"351454";"234926";"232259";"1187049";"281922";"438609";"297672";"201770";"191761";"46628";"0";"19517";"80649";"57567";"84062";"87402";"81808";"102820";"74072";"1521";"4053468"
"16 Amapá";"0";"33387";"15770";"63725";"25320";"36554";"23608";"25938";"7795";"123";"0";"3555";"13339";"11722";"13818";"11667";"10510";"12633";"4876";"87";"314427"
"17 Tocantins";"0";"0";"48256";"142366";"77574";"76681";"55969";"32647";"27812";"1195";"12";"3866";"24256";"13499";"21298";"17502";"18020";"22865";"14836";"294";"598948"
"21 Maranhão";"352531";"319737";"249578";"582847";"319686";"315467";"202892";"177130";"156092";"37942";"58";"15283";"103694";"81121";"9576";"28526";"20948";"8219";"1709";"1490";"2984526"
"22 Piauí";"107765";"84114";"94139";"101775";"69820";"66502";"67448";"63215";"59902";"5833";"0";"7597";"33450";"27878";"3701";"9471";"1123";"762";"1993";"1620";"808108"
"23 Ceará";"423215";"439372";"329452";"685464";"201465";"212217";"203393";"186607";"184053";"6394";"0";"22093";"127507";"97759";"13514";"49874";"15551";"17697";"2128";"1476";"3219231"
"24 Rio Grande do Norte";"112564";"93128";"94122";"187134";"79404";"72710";"64676";"55826";"81842";"3026";"0";"8402";"39248";"34624";"5314";"10245";"6104";"1731";"2560";"1183";"953843"
"25 Paraíba";"0";"92807";"131697";"285302";"125411";"73483";"74327";"72382";"68166";"116";"743";"9397";"44231";"31326";"2636";"14835";"5026";"8357";"2897";"1743";"1044882"
"26 Pernambuco";"495048";"885845";"386711";"909558";"759425";"664313";"331384";"195491";"180335";"8472";"1102";"21365";"114712";"105956";"23713";"46094";"15808";"13124";"4628";"2528";"5165612"
"27 Alagoas";"0";"110652";"68244";"168096";"103093";"153766";"118847";"70904";"74277";"2324";"20";"9462";"44946";"38841";"5039";"17330";"11203";"1645";"2047";"1288";"1002024"
"28 Sergipe";"0";"97484";"73277";"123980";"83107";"68485";"49247";"42874";"40871";"881";"0";"8003";"26653";"25103";"3439";"8910";"409";"231";"491";"741";"654186"
"29 Bahia";"721012";"635971";"434315";"482436";"263490";"238296";"294207";"281405";"258777";"26716";"407";"41381";"173439";"152136";"23733";"50527";"11277";"3149";"7763";"4369";"4104806"
"31 Minas Gerais";"0";"0";"0";"1880786";"384291";"338263";"395635";"330023";"247214";"5830";"0";"65144";"180421";"140644";"4322";"51731";"25455";"2637";"5036";"2802";"4060234"
"32 Espírito Santo";"136770";"818516";"147378";"112663";"74248";"61999";"62146";"59422";"56168";"2099";"132";"14353";"48928";"40807";"1688";"9534";"4426";"2304";"889";"309";"1654779"
"33 Rio de Janeiro";"0";"399282";"350247";"328786";"274783";"261292";"273693";"250788";"236427";"2067";"0";"39777";"199292";"171874";"23478";"46677";"20118";"16784";"26141";"12759";"2934265"
"35 São Paulo";"0";"649920";"633200";"810336";"767424";"722086";"752063";"678299";"629130";"22129";"49";"119856";"484337";"457708";"24592";"139270";"260157";"178117";"19874";"7184";"7355731"
"41 Paraná";"0";"207160";"184335";"273549";"274304";"193629";"202128";"182593";"164530";"3217";"0";"25956";"112712";"113886";"132924";"126022";"114461";"148473";"93696";"23361";"2576936"
"42 Santa Catarina";"195586";"430987";"173739";"135972";"99222";"108173";"102184";"93822";"85784";"441";"0";"20359";"69996";"67027";"88541";"71387";"73988";"94930";"63015";"19102";"1994255"
"43 Rio Grande do Sul";"0";"227185";"330413";"389023";"155744";"182460";"184919";"163624";"150991";"3064";"0";"23068";"104655";"91207";"119714";"99437";"114330";"128558";"88611";"2647";"2559650"
"50 Mato Grosso do Sul";"0";"0";"64159";"74965";"69087";"47451";"52782";"43039";"40131";"899";"2";"7158";"43994";"30715";"38774";"32383";"42609";"41764";"26946";"1017";"657875"
"51 Mato Grosso";"142572";"191356";"112739";"175810";"123266";"71800";"92019";"64938";"54348";"2232";"0";"8251";"47473";"41499";"44308";"42496";"38718";"51812";"38135";"1495";"1345267"
"52 Goiás";"119440";"250996";"157649";"401935";"175642";"178648";"121192";"98033";"99977";"2416";"323";"18138";"82611";"53505";"79759";"66648";"66041";"79002";"57742";"6634";"2116331"
"53 Distrito Federal";"0";"0";"83783";"33838";"586";"2";"46";"42";"3";"8";"0";"10365";"44316";"26940";"56821";"31973";"41386";"42033";"21311";"525";"393978"
"Total";"3365256";"6618171";"4638011";"10040456";"5111036";"4932836";"4290415";"3510535";"3242505";"207914";"3319";"545395";"2352606";"2016396";"929695";"1173499";"1097523";"1097493";"619424";"96618";"55889103"
