Estado;Sigla;Código do Estado;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Total
Rondônia;RO;11;-;-;-;-;-;-;-;1;-;17;63;96;83;82;104;66;512
Acre;AC;12;-;-;-;-;-;-;-;-;-;6;33;63;84;107;133;156;582
Amazonas;AM;13;-;-;-;-;-;-;-;-;-;15;72;58;105;103;76;95;524
Roraima;RR;14;-;-;-;-;-;-;-;-;-;1;5;13;27;37;48;100;231
Pará;PA;15;-;-;-;-;-;-;1;1;-;19;160;193;242;350;630;496;2092
Amapá;AP;16;-;-;-;-;-;-;-;-;-;1;-;5;33;10;29;15;93
Tocantins;TO;17;-;-;-;-;-;-;2;-;-;2;11;9;8;21;18;10;81
Maranhão;MA;21;-;-;-;-;-;-;-;-;-;12;70;127;91;125;145;152;722
Piauí;PI;22;-;-;-;-;-;-;-;-;1;2;5;4;7;16;19;31;85
Ceará;CE;23;-;-;-;1;-;1;2;7;5;75;258;153;277;340;345;258;1722
Rio Grande do Norte;RN;24;-;-;-;-;-;-;-;-;-;14;67;71;158;255;202;362;1129
Paraíba;PB;25;-;-;-;1;-;1;-;-;6;24;67;58;85;90;116;52;500
Pernambuco;PE;26;-;-;-;1;-;2;2;1;16;126;328;495;570;541;626;543;3251
Alagoas;AL;27;-;-;-;-;-;-;-;-;-;6;22;32;28;51;60;25;224
Sergipe;SE;28;-;-;-;-;-;-;-;-;-;21;38;77;98;120;173;126;653
Bahia;BA;29;-;-;-;-;1;1;1;2;-;19;96;126;118;164;182;143;853
Minas Gerais;MG;31;-;-;-;-;-;-;1;-;7;49;111;136;147;237;237;238;1163
Espírito Santo;ES;32;-;-;-;1;-;-;-;-;1;22;55;68;84;98;147;227;703
Rio de Janeiro;RJ;33;-;-;-;-;-;10;-;-;1;99;617;865;1093;1097;1049;635;5466
São Paulo;SP;35;2;26;31;66;100;160;1398;1512;-;1698;1987;2288;2771;2197;1869;1596;17701
Paraná;PR;41;-;2;-;-;1;1;3;1;14;71;154;172;170;234;206;223;1252
Santa Catarina;SC;42;-;-;1;1;-;-;-;1;2;59;146;138;105;105;106;76;740
Rio Grande do Sul;RS;43;-;2;3;1;-;4;-;5;8;219;449;448;578;654;856;655;3882
Mato Grosso do Sul;MS;50;-;-;-;-;1;1;2;2;10;52;152;191;150;341;206;168;1276
Mato Grosso;MT;51;-;-;-;-;-;-;-;-;3;16;44;86;128;120;123;83;603
Goiás;GO;52;-;-;1;-;-;-;-;-;2;16;102;93;145;130;151;107;747
Distrito Federal;DF;53;-;-;-;-;-;-;-;-;-;11;26;29;25;43;26;25;185
