Estado;Código do Estado;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020; Total
Rondônia;11;41588;37627;36344;34359;35055;34073;29092;29397;28393;26927;27688;27641;29323;29204;29407;29096;28048;25375;24692;19727;613634
Acre;12;30282;27742;29495;24800;25916;23875;24712;22433;20855;21910;20406;18297;18934;17563;18375;17202;16699;16184;15915;11864;428546
Amazonas;13;137457;149235;142575;100542;110401;103236;97951;94189;93854;90944;90439;94974;89967;93407;86984;78451;77260;75053;73191;70001;1990480
Roraima;14;18545;17750;18501;18774;22337;16506;10450;10498;9854;10704;11188;11440;9379;11076;11921;12047;13058;15324;13708;11613;281485
Pará;15;290014;314063;312463;253045;312209;268716;239318;211870;199115;187145;179486;169550;166563;161379;135663;121321;128129;124013;117068;96771;4035613
Amapá;16;42397;22048;20522;18366;19153;18960;17266;18521;17563;17081;16451;15497;17040;16752;19004;18650;16202;17119;16686;14351;383215
Tocantins;17;66881;62402;66823;56345;61747;44693;30641;27181;25843;25031;27544;27034;22259;24961;26451;26105;27711;25496;28523;22688;739317
Maranhão;21;259180;257946;274476;266232;298106;243726;209093;184137;172826;159049;154277;141013;133964;125363;119475;109030;128018;118430;95781;73375;3562402
Piauí;22;101645;101244;94100;86669;77793;68065;62278;56886;53757;52054;51537;49809;47369;46162;41130;41303;47301;47919;41426;38234;1228646
Ceará;23;249305;239367;254407;241582;261468;185868;166812;148855;145938;143579;142710;137360;138208;135531;142650;140187;143629;134167;110091;78195;3383878
Rio Grande do Norte;24;65896;71685;69173;63557;63210;59042;56077;54529;53991;55307;56959;54973;51145;50001;48332;41914;31610;48507;39788;36256;1089571
Paraíba;25;87367;82517;85636;83833;91664;82969;83278;76808;72528;66184;67821;66047;62478;62738;58511;56117;59255;60020;54490;37034;1415400
Pernambuco;26;363725;298470;275809;265448;292211;230452;176660;166764;163863;154390;159846;153117;148496;152204;154342;142261;140962;141598;125212;105503;3871886
Alagoas;27;132701;150937;136652;126371;128422;91745;67307;59180;63644;56475;55687;59500;60823;56763;53698;54228;57404;54855;46381;34171;1564172
Sergipe;28;54093;41544;41586;40830;42438;41877;40037;39484;36092;32240;34884;32744;33799;34185;36421;33693;34372;35659;30263;26311;759371
Bahia;29;334246;306271;308399;309939;306826;279823;266604;241544;236767;235439;232517;217091;212200;212074;208837;172676;182530;172132;162220;153820;4810178
Minas Gerais;31;684418;724127;737737;650565;692147;420170;282595;276076;264162;259614;263013;264624;251552;261417;267192;241917;256477;259501;233268;211422;7612457
Espírito Santo;32;70009;68186;67711;66924;63905;60779;56186;54172;53026;55595;53826;53768;55346;55294;55558;51496;52334;53868;50523;44068;1168318
Rio de Janeiro;33;522125;483039;480300;459421;504597;356520;245584;238283;240182;236062;248506;235361;236335;251201;256310;246223;269050;232095;178081;135804;6125583
São Paulo;35;720292;695114;682369;692647;676365;647587;621725;631346;644561;613622;627045;629176;633755;631380;620663;589856;631822;609571;514216;413787;12738289
Paraná;41;193986;182679;172718;173634;173461;167397;157856;157694;155766;155662;159922;155690;161007;166947;168230;155701;157270;153023;144390;137263;3316383
Santa Catarina;42;94227;90363;86417;90514;88800;86678;83804;86260;85701;86575;89020;87177;86680;94415;99420;96534;81658;89044;82180;78772;1802422
Rio Grande do Sul;43;333880;330444;320956;320624;302953;227256;135158;134340;132623;129259;135571;135052;131272;146572;149469;134081;128923;128850;124907;115584;3752832
Mato Grosso do Sul;50;78770;82568;78204;59280;58601;48725;43213;43271;42612;42653;43799;42646;43439;54969;55093;47061;54387;55164;51176;27936;1067110
Mato Grosso;51;138248;132371;130152;124429;129249;84731;58314;57105;54812;48389;51165;52957;54286;57738;58431;56258;56378;58093;52356;48431;1529222
Goiás;52;156120;124208;115612;119617;119290;116254;114325;111983;104295;106377;107604;100489;100407;108294;101688;93890;90153;91068;85899;70857;2175362
Distrito Federal;53;59609;55341;55530;54596;52059;50957;48611;49242;49611;50346;43465;47335;57956;48983;34714;61875;42725;39167;41891;41669;1011737
