Estado;Sigla;Código do Estado;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;Total
Rondônia;RO;11;4651.54;5433.73;6697.39;7608.7;8395.79;8389.27;9435.52;11976.57;13455.71;15079.69;17659.33;18466.5;10732.93
Acre;AC;12;4309.39;4887.09;5502.38;6415.31;6693.55;7040.88;8188.96;9896.16;10686.87;11555.33;11782.59;12690.32;8536.42
Amazonas;AM;13;6223.8;7357.39;8240.36;9778.2;10318.33;11826.14;12399.59;14014.13;14620.99;17158.31;18244.3;17855.78;12592.62
Roraima;RR;14;6028.53;6667.26;7660.32;7645.01;8124.56;9074.44;10038.02;11844.72;13270.54;14075.24;15105.86;15577.13;10756.23
Pará;PA;15;3519.78;3975.88;4525.42;5311.11;5612.31;6240.06;6829.34;7992.71;7859.17;10268.71;11493.73;11634.7;7278.7
Amapá;AP;16;5618.06;6372.59;6421.04;6953.76;7335.06;8542.82;9459.06;11032.67;11816.64;12346.0;13105.24;14914.84;9781.36
Tocantins;TO;17;4087.64;4645.51;5886.21;6605.05;6939.47;7208.33;8164.07;10222.71;11277.6;12461.74;12891.19;13775.67;8833.65
Maranhão;MA;21;2341.82;2662.07;3146.82;3634.8;4150.94;4627.71;5044.77;6103.52;6259.46;6883.25;7852.71;8760.34;5222.28
Piauí;PI;22;2252.94;2561.98;3002.04;3328.69;3701.24;4211.9;4611.3;5372.4;6051.41;7074.28;7835.75;8137.51;4905.07
Ceará;CE;23;3250.37;3775.04;4197.42;4689.13;5055.43;5634.94;6037.94;7111.85;7686.67;9212.25;10314.29;10473.12;6549.19
Rio Grande do Norte;RN;24;3674.12;4275.64;4679.6;5329.77;5950.48;6753.08;7433.45;8202.81;8893.61;10207.9;11286.99;12249.46;7527.14
Paraíba;PB;25;3127.7;3557.66;4023.7;4241.02;4691.14;5506.55;6082.37;6865.98;7617.76;8481.83;9348.69;10151.88;6213.51
Pernambuco;PE;26;3776.73;4360.25;4816.13;5341.88;5933.46;6526.63;7246.73;8064.95;8901.87;10821.04;11776.1;13138.48;7659.04
Alagoas;AL;27;2971.45;3398.2;3841.93;4373.05;4688.27;5162.19;5767.56;6227.5;6728.22;7875.29;9079.48;9333.43;5852.18
Sergipe;SE;28;4412.5;5121.47;5800.63;6393.6;6823.52;7559.23;8308.96;9778.96;9786.89;11572.51;12536.45;13180.93;8564.17
Bahia;BA;29;3866.75;4553.87;5070.25;5835.26;6581.08;6918.98;7785.69;8378.31;9364.62;11011.02;11340.18;11832.33;7772.99
Minas Gerais;MG;31;6140.84;6966.05;8021.35;9451.07;10013.77;11024.75;12236.4;14232.73;14328.33;17930.04;19573.29;20324.58;12644.83
Espírito Santo;ES;32;7712.61;8356.79;9557.46;12192.48;13854.93;15234.78;17143.4;20230.85;19145.74;23363.57;27542.13;29996.3;17282.56
Rio de Janeiro;RJ;33;10447.39;11638.58;12636.14;14830.06;16057.38;17692.59;18856.12;21621.36;22103.04;25461.2;28696.42;31064.63;19475.57
São Paulo;SP;35;12316.67;13404.04;14979.51;16399.03;17975.6;19550.35;21668.43;24456.84;26202.18;30235.81;32449.06;33624.41;22154.68
Paraná;PR;41;7881.91;9023.0;11048.85;12224.52;12344.46;13151.95;15371.28;16927.32;17779.14;20804.17;22769.98;24194.79;15426.43
Santa Catarina;SC;42;8946.76;10082.26;11922.0;13609.94;14542.74;15633.12;17295.19;20368.53;21214.59;24403.28;26760.82;27771.85;18013.28
Rio Grande do Sul;RS;43;8953.43;10134.75;11849.6;12986.65;13298.13;14304.83;15939.53;18377.73;19778.55;23609.9;24562.81;25779.21;16682.23
Mato Grosso do Sul;MS;50;6229.87;7079.04;8883.09;9599.19;9561.03;10592.38;12062.84;14187.47;15406.62;17767.98;19875.45;21744.32;13006.89
Mato Grosso;MT;51;6369.74;8039.65;10518.81;13700.89;13365.07;12340.68;14667.83;18049.81;19087.09;19636.77;23218.24;25945.87;15758.07
Goiás;GO;52;5846.72;7181.07;8072.55;8888.92;8992.02;9956.28;11164.88;12877.88;14446.66;16252.39;18298.59;20134.26;12084.92
Distrito Federal;DF;53;24564.76;26161.33;28817.76;31663.53;34514.72;37599.28;41061.74;45977.56;50438.48;58325.68;63020.02;64653.0;43257.86
