Estado;Código do Estado;1995;1996;2000;2004;2013;2014;2015;2016;2017;2018;2019;2020;2021; Total
Rondônia;11;0;0;13701;0;5974;28414;25149;25480;22652;16015;21424;14068;108;172985
Acre;12;0;0;7331;0;1691;9632;8119;10417;11136;12450;15518;6778;84;83156
Amazonas;13;0;0;12872;406;14661;60806;60200;59772;59057;59026;68506;31088;196;426590
Roraima;14;0;0;4286;0;723;8895;9584;9262;10713;10556;12398;6094;55;72566
Pará;15;0;0;0;43;19517;80649;57567;84062;87402;81808;102820;74072;1521;589461
Amapá;16;0;0;5581;0;3555;13339;11722;13818;11667;10510;12633;4876;87;87788
Tocantins;17;0;0;7338;53;3866;24256;13499;21298;17502;18020;22865;14836;294;143827
Maranhão;21;0;0;2670;0;15283;103694;81121;9576;28526;20948;8219;1709;1490;273236
Piauí;22;0;0;14462;0;7597;33450;27878;3701;9471;1123;762;1993;1620;102057
Ceará;23;0;0;4528;0;22093;127507;97759;13514;49874;15551;17697;2128;1476;352127
Rio Grande do Norte;24;0;0;574254;0;8402;39248;34624;5314;10245;6104;1731;2560;1183;683665
Paraíba;25;0;12;5751;248;9397;44231;31326;2636;14835;5026;8357;2897;1743;126459
Pernambuco;26;0;0;45794;8;21365;114712;105956;23713;46094;15808;13124;4628;2528;393730
Alagoas;27;0;0;5513;18;9462;44946;38841;5039;17330;11203;1645;2047;1288;137332
Sergipe;28;0;0;0;0;8003;26653;25103;3439;8910;409;231;491;741;73980
Bahia;29;0;56;2397;2410;41381;173439;152136;23733;50527;11277;3149;7763;4369;472637
Minas Gerais;31;0;0;28294;0;65144;180421;140644;4322;51731;25455;2637;5036;2802;506486
Espírito Santo;32;0;0;0;18;14353;48928;40807;1688;9534;4426;2304;889;309;123256
Rio de Janeiro;33;0;0;672;45;39777;199292;171874;23478;46677;20118;16784;26141;12759;557617
São Paulo;35;0;0;4181;332;119856;484337;457708;24592;139270;260157;178117;19874;7184;1695608
Paraná;41;900847;142533;927;0;25956;112712;113886;132924;126022;114461;148473;93696;23361;1935798
Santa Catarina;42;0;0;12127;0;20359;69996;67027;88541;71387;73988;94930;63015;19102;580472
Rio Grande do Sul;43;0;0;1762;0;23068;104655;91207;119714;99437;114330;128558;88611;2647;773989
Mato Grosso do Sul;50;0;0;0;0;7158;43994;30715;38774;32383;42609;41764;26946;1017;265360
Mato Grosso;51;300;0;8438;0;8251;47473;41499;44308;42496;38718;51812;38135;1495;322925
Goiás;52;0;0;6929;117;18138;82611;53505;79759;66648;66041;79002;57742;6634;517126
Distrito Federal;53;0;0;9145;0;10365;44316;26940;56821;31973;41386;42033;21311;525;284815
